sentence,label
I checked the expiry date on my blood sugar monitor before bed,1
I felt some sore throat so I rested in the morning,1
I took a nap before bed,0
I cooked dinner for myself during the day,0
I practiced playing music for two hours in the evening,0
I felt some rash so I rested after breakfast,1
I felt some fatigue so I rested after breakfast,1
I made sure to drink enough water today at night,1
I followed my social engagement plan after breakfast,1
I went to the park for some hiking for two hours,0
my support person helped me with my fall prevention measures at night,1
I took a nap after breakfast,0
I read a book after breakfast,0
I called the aesthetician to confirm my visit after breakfast,1
I applied the blood sugar monitor to my skin before bed,1
I painted a picture for fun after breakfast,0
I took a shower with help from my caregiver at night,1
I felt some memory loss so I rested during the day,1
I scheduled an appointment with the ophthalmologist during the day,1
I spent for an hour folding laundry today,0
I set a reminder to take my inhaler at night,1
I organized my supplements into the weekly pill box after dinner,1
I brushed my teeth and did my hygiene routine after breakfast,1
I talked to Eve about traveling for a few minutes,0
I looked through old photo albums for two hours,0
I read a book in the evening,0
I went to the park for some hiking for a while,0
I painted a picture for fun at night,0
I spent some time doing a crossword puzzle at night,0
I set a reminder to take my CPAP mask at night,1
I checked the phone for messages after dinner,0
I felt some chest pain so I rested in the afternoon,1
I made sure to drink enough water today after breakfast,1
I recorded my symptoms in a notebook before bed,1
I set a reminder to take my heart rate monitor in the afternoon,1
I played a board game in the evening,0
I organized my vitamins into the weekly pill box in the morning,1
I really enjoyed playing board games at night,0
I wore my emergency alert system as the doctor advised before bed,1
I called a friend to chat after dinner,0
I was using the TV to look up more about collecting stamps before bed,0
I watched a movie on my laptop after breakfast,0
I was using the gaming console to look up more about writing after dinner,0
I felt like fishing would be a nice way to spend the in the morning,0
I checked my calendar for the next aesthetician visit in the afternoon,1
I painted a picture for fun in the evening,0
I felt some swelling so I rested before bed,1
I invited Bob over for some doing puzzles after dinner,0
I went to the diagnostic lab for a checkup after dinner,1
I reviewed my medication list after dinner,1
I went for a drive around the neighborhood at night,0
I talked to Charlie about hiking for a short time,0
I set a reminder to take my eye drops in the afternoon,1
I practiced a few chords on the guitar before bed,0
I took a shower with help from my support person in the morning,1
I felt some confusion so I rested after breakfast,1
I chatted with the neighbor over the fence during the day,0
I baked a cake during the day,0
I recorded my symptoms in a notebook in the evening,1
I noticed the tools was dusty while I was doing a puzzle after dinner,0
I watched the news on the television for a short time,0
I talked to Eve about cooking for a short time,0
I painted a picture for fun in the afternoon,0
I went for a drive around the neighborhood after breakfast,0
I took a shower with help from my support person after dinner,1
I really enjoyed traveling in the afternoon,0
I practiced my appointment with the psychiatrist in the morning,1
I checked the expiry date on my supplements at night,1
I really enjoyed dancing before bed,0
I checked the expiry date on my oxygen tank at night,1
I dusted the bookshelves after dinner,0
I sat by the window and watched the rain for a short time,0
I was using the speaker to look up more about fishing in the evening,0
I practiced my rehab exercises with the dentist before bed,1
I measured my blood pressure in the care facility in the afternoon,1
I was cooking dinner and lost track of time after dinner,0
I really enjoyed playing board games in the morning,0
I asked my family to remind me about the social engagement before bed,1
I felt some confusion so I rested in the evening,1
I sat on the porch and watched the birds in the morning,0
I set a reminder to take my walker before bed,1
I asked my family to remind me about the emergency preparedness plan after dinner,1
I measured my blood pressure in the adult day care center during the day,1
I asked my family to remind me about the mobility practice at night,1
I updated my companion about my headache before bed,1
my spouse helped me with my sleep routine during the day,1
I misplaced the kitchen appliances while I was cleaning the kitchen after dinner,0
I applied the medicine to my skin in the morning,1
I chatted with the neighbor over the fence before bed,0
I went to the park for some playing music for an hour,0
I did a puzzle in the morning,0
I practiced playing board games for two hours before bed,0
my companion helped me with my rehab exercises at night,1
I practiced my therapy with the specialist during the day,1
I put the phone back where it belongs after breakfast,0
I made sure to drink enough water today during the day,1
I painted a picture for fun during the day,0
I scheduled an appointment with the nurse after dinner,1
I checked the speaker for messages in the evening,0
I used my fitness tracker to get to the kitchen in the evening,1
I brushed my teeth and did my hygiene routine before bed,1
I measured my blood pressure in the hospital at night,1
I checked my calendar for the next nurse visit after breakfast,1
I dusted the bookshelves before bed,0
I brushed my teeth and did my hygiene routine in the evening,1
I watched the news on the television for a while,0
I watched a movie on my laptop during the day,0
I watched the news on the television for two hours,0
I went to the outpatient center for a checkup in the evening,1
I read a book after dinner,0
I spent for a short time on my tablet during the day,0
I spent for a while cooking dinner with Alice after breakfast,0
I felt some memory loss so I rested after dinner,1
I used my assistive communication device to get to the kitchen after dinner,1
I folded the laundry while listening to the radio at night,0
I asked my family to remind me about the health monitoring before bed,1
I applied the bandage to my skin at night,1
I scheduled an appointment with the counselor at night,1
I organized my closet during the day,0
I scheduled an appointment with the midwife after breakfast,1
I listened to music while resting in the evening,0
I watched the news on the television for an hour,0
I took a shower with help from my support person after breakfast,1
I called a friend to chat at night,0
I spent for an hour on my laptop in the afternoon,0
I invited David over for some playing music at night,0
I followed my hydration reminder plan after dinner,1
I updated my friend about my shortness of breath after breakfast,1
I measured my blood pressure in the urgent care center after breakfast,1
I used my medical bracelet to get to the kitchen in the afternoon,1
I organized my ointment into the weekly pill box after breakfast,1
I went to the adult day care center for a checkup before bed,1
I helped Frank with sweeping the floor for a few minutes,0
I used the smartwatch for reading a book for a while,0
I made sure to drink enough water today in the afternoon,1
I organized my medical bracelet into the weekly pill box at night,1
I sat by the window and watched the rain for a while,0
I cleaned the kitchen during the day,0
I focused on washing dishes after dinner,0
I recorded my symptoms in a notebook after dinner,1
I was knitting and lost track of time in the afternoon,0
my support person helped me with my blood test before bed,1
I misplaced the phone while I was vacuuming the living room at night,0
I spent for an hour on my radio in the evening,0
I checked the expiry date on my oxygen tank in the evening,1
I took a shower with help from my assistant in the morning,1
I took a nap in the afternoon,0
I scheduled an appointment with the gastroenterologist during the day,1
I called the herbalist to confirm my visit before bed,1
I swept the living room floor at night,0
I went to the adult day care center for a checkup in the morning,1
I played a board game before bed,0
I listened to music while resting during the day,0
I was knitting and lost track of time before bed,0
I went to the doctor's office for a checkup at night,1
I swept the living room floor in the evening,0
I spent some time doing a crossword puzzle before bed,0
I called a friend to chat after breakfast,0
I measured my blood pressure in the clinic in the afternoon,1
I asked my family to remind me about the hydration reminder after dinner,1
I brushed my teeth and did my hygiene routine at night,1
I followed my appointment plan before bed,1
I spent for two hours taking out the trash today,0
I watched a movie on my laptop at night,0
I reviewed my medication list at night,1
I made sure to drink enough water today before bed,1
I swept the living room floor in the afternoon,0
I baked a cake before bed,0
I cleaned the kitchen after dinner,0
I spent for a short time on my gaming console before bed,0
I noticed the book was dusty while I was going for a walk after dinner,0
I followed my cognitive exercises plan at night,1
my friend helped me with my therapy after breakfast,1
I practiced a few chords on the guitar in the morning,0
I talked to Grace about meditation for a short time,0
I used my mobility scooter to get to the kitchen in the evening,1
my friend helped me with my symptom tracking after breakfast,1
I updated my daughter about my joint pain after breakfast,1
I updated my neighbor about my chest pain in the evening,1
I focused on dusting the shelves after dinner,0
I used my fitness tracker to get to the kitchen before bed,1
I used the gaming console for going for a walk for a while,0
I helped Charlie with folding laundry for an hour,0
I updated my aide about my dizziness during the day,1
I spent for two hours on my tablet during the day,0
I really enjoyed traveling after dinner,0
I focused on washing dishes in the afternoon,0
I felt some sore throat so I rested in the afternoon,1
I followed my exercise plan in the morning,1
I read a book before bed,0
I asked my family to remind me about the emergency preparedness plan during the day,1
I really enjoyed painting during the day,0
I put the radio back where it belongs in the evening,0
I updated my caregiver about my memory loss after dinner,1
I updated my caregiver about my fatigue in the evening,1
I spent for a while on my headphones during the day,0
I recorded my symptoms in a notebook in the morning,1
I went to the outpatient center for a checkup at night,1
my friend helped me with my sleep routine in the morning,1
I folded the laundry while listening to the radio before bed,0
I spent for two hours on my e-reader in the afternoon,0
I talked to Heidi about fishing for an hour,0
I called the occupational therapist to confirm my visit after dinner,1
I made sure to drink enough water today in the morning,1
I updated my helper about my shortness of breath after breakfast,1
I felt some sore throat so I rested during the day,1
I checked the expiry date on my medical bracelet at night,1
I followed my social engagement plan after dinner,1
I listened to music while resting in the afternoon,0
I measured my blood pressure in the doctor's office after dinner,1
I checked my calendar for the next therapist visit before bed,1
I organized my closet in the morning,0
I set a reminder to take my pills in the evening,1
I spent some time doing a crossword puzzle in the afternoon,0
I practiced yoga for a few minutes in the evening,0
I watched a movie on my laptop in the afternoon,0
I organized my supplements into the weekly pill box after breakfast,1
I measured my blood pressure in the community health clinic after breakfast,1
I spent for a few minutes cleaning the kitchen today,0
I followed my mobility practice plan after dinner,1
I focused on cleaning the kitchen in the afternoon,0
I practiced my mobility practice with the home care nurse during the day,1
I helped Bob with sweeping the floor for two hours,0
I used my orthotic brace to get to the kitchen in the afternoon,1
I asked my family to remind me about the exercise at night,1
I practiced my diet plan with the chiropractor after breakfast,1
I walked in the park for a bit after dinner,0
I felt some headache so I rested in the evening,1
I called the caregiver to confirm my visit in the morning,1
I played a board game in the morning,0
I asked my family to remind me about the health monitoring after breakfast,1
I called the therapist to confirm my visit in the morning,1
I took a shower with help from my friend at night,1
I was playing a game and lost track of time during the day,0
I was using the speaker to look up more about playing music in the afternoon,0
I talked to Frank about fishing for an hour,0
I wore my walker as the doctor advised in the afternoon,1
I really enjoyed volunteering at night,0
I felt some memory loss so I rested in the morning,1
I went to the rehab center for a checkup in the morning,1
I checked my calendar for the next hospice worker visit in the morning,1
I went to the health center for a checkup in the morning,1
I used my home blood pressure monitor to get to the kitchen in the evening,1
I folded the laundry while listening to the radio after breakfast,0
I applied the walker to my skin after breakfast,1
I measured my blood pressure in the surgery center in the morning,1
I applied the medical bracelet to my skin after dinner,1
I took a shower with help from my aide after breakfast,1
I chatted with the neighbor over the fence in the evening,0
I scheduled an appointment with the therapist in the morning,1
I sat by the window and watched the rain for an hour,0
I was using the gaming console to look up more about yoga in the evening,0
I sat by the window and watched the rain for two hours,0
I asked my family to remind me about the weight check in the evening,1
I spent for a short time on my speaker during the day,0
I spent for two hours folding laundry today,0
I felt some confusion so I rested after dinner,1
I cooked dinner for myself in the morning,0
I reviewed my medication list before bed,1
I listened to music while resting after breakfast,0
I organized my eye drops into the weekly pill box in the afternoon,1
I invited Bob over for some fishing after breakfast,0
I went to the clinic for a checkup after breakfast,1
I measured my blood pressure in the dentist's office after breakfast,1
I dusted the bookshelves during the day,0
I asked my family to remind me about the exercise in the afternoon,1
I took a shower with help from my aide during the day,1
I took a shower with help from my aide in the morning,1
I watered the plants at night,0
I talked to Bob about hiking for an hour,0
I went for a drive around the neighborhood in the afternoon,0
I used my smart home health device to get to the kitchen in the evening,1
I felt like doing puzzles would be a nice way to spend the during the day,0
I set a reminder to take my denture cream in the afternoon,1
I felt some swelling so I rested in the afternoon,1
I invited Ivan over for some playing board games at night,0
I went to the clinic for a checkup before bed,1
I went to the park for some photography for two hours,0
I walked in the park for a bit before bed,0
I reviewed my medication list after breakfast,1
I checked my calendar for the next respite care provider visit in the morning,1
I organized my denture cream into the weekly pill box after breakfast,1
I called a friend to chat during the day,0
I used my glucometer to get to the kitchen before bed,1
I put the newspaper back where it belongs at night,0
I focused on dusting the shelves in the evening,0
I asked my family to remind me about the symptom tracking after breakfast,1
I called the therapist to confirm my visit in the afternoon,1
I noticed the newspaper was dusty while I was watching a movie in the afternoon,0
I organized my eye drops into the weekly pill box at night,1
I spent for a while on my gaming console in the evening,0
I applied the CPAP mask to my skin after dinner,1
I practiced my emergency preparedness plan with the dentist before bed,1
I swept the living room floor after breakfast,0
I applied the hearing aid batteries to my skin in the morning,1
I took a nap in the morning,0
I brushed my teeth and did my hygiene routine in the morning,1
I invited Eve over for some knitting at night,0
I noticed the cleaning supplies was dusty while I was gardening in the afternoon,0
I sat on the porch and watched the birds before bed,0
I focused on watering the plants after dinner,0
I practiced a few chords on the guitar in the afternoon,0
I scheduled an appointment with the audiologist after dinner,1
I checked the expiry date on my hearing aid batteries during the day,1
I applied the walker to my skin in the evening,1
I focused on taking out the trash at night,0
I misplaced the kitchen appliances while I was dusting the shelves before bed,0
I reviewed my medication list in the morning,1
I noticed the phone was dusty while I was listening to music at night,0
I scheduled an appointment with the home health aide during the day,1
I felt some swelling so I rested after dinner,1
I practiced my cognitive exercises with the occupational therapist after dinner,1
I baked a cake at night,0
I called the home health aide to confirm my visit after breakfast,1
I called the podiatrist to confirm my visit in the afternoon,1
I did a puzzle in the afternoon,0
I helped Judy with watering the plants for a while,0
I misplaced the furniture while I was mopping the floor in the morning,0
I used my smart scale to get to the kitchen in the evening,1
I checked my calendar for the next social worker visit after dinner,1
I misplaced the laptop while I was washing dishes in the afternoon,0
I felt some cough so I rested before bed,1
I asked my family to remind me about the appointment during the day,1
I took a shower with help from my family member after breakfast,1
I cleaned the kitchen in the evening,0
I went to the nurse's station for a checkup at night,1
I checked the expiry date on my denture cream in the afternoon,1
I watered the plants after dinner,0
I used my assistive communication device to get to the kitchen in the morning,1
I practiced my weight check with the oncologist before bed,1
I organized my closet in the evening,0
I took a nap during the day,0
I called a friend to chat in the evening,0
I felt some dizziness so I rested in the afternoon,1
I was using the tablet to look up more about playing board games in the morning,0
I looked through old photo albums for a while,0
I watered the plants in the morning,0
I measured my blood pressure in the care facility before bed,1
I measured my blood pressure in the long-term care facility in the morning,1
I was playing a game and lost track of time before bed,0
I followed my diet plan plan after dinner,1
I cooked dinner for myself after dinner,0
I applied the cane to my skin at night,1
I practiced playing music for two hours in the afternoon,0
I noticed the cleaning supplies was dusty while I was playing a game in the morning,0
I went to the community health clinic for a checkup after dinner,1
I felt like playing music would be a nice way to spend the in the evening,0
I asked my family to remind me about the symptom tracking during the day,1
I scheduled an appointment with the neurologist after breakfast,1
I spent some time doing a crossword puzzle during the day,0
I really enjoyed cooking in the evening,0
I dusted the bookshelves in the afternoon,0
I measured my blood pressure in the surgery center before bed,1
I watched a movie on my laptop in the morning,0
I updated my friend about my swelling in the afternoon,1
I applied the eye drops to my skin in the evening,1
I felt like collecting stamps would be a nice way to spend the after breakfast,0
I used my wheelchair to get to the kitchen during the day,1
I cleaned the kitchen at night,0
I checked my calendar for the next palliative care specialist visit during the day,1
I scheduled an appointment with the pulmonologist during the day,1
I talked to David about dancing for two hours,0
I wore my pulse oximeter as the doctor advised in the afternoon,1
I organized my insulin into the weekly pill box in the evening,1
I wore my pill organizer as the doctor advised after breakfast,1
I used my oxygen tank to get to the kitchen in the evening,1
I followed my appointment plan in the evening,1
I practiced a few chords on the guitar in the evening,0
I checked the speaker for messages in the morning,0
I helped Ivan with cleaning the kitchen for a while,0
I felt like playing board games would be a nice way to spend the in the evening,0
I used my cane to get to the kitchen in the afternoon,1
I followed my sleep routine plan after breakfast,1
I took a shower with help from my helper at night,1
I focused on organizing the closet in the afternoon,0
I practiced my insulin shot with the doctor after breakfast,1
I checked the expiry date on my medical bracelet before bed,1
I did a puzzle at night,0
I played a board game after dinner,0
I focused on sweeping the floor after dinner,0
I used my medical bracelet to get to the kitchen during the day,1
I noticed the remote control was dusty while I was knitting after dinner,0
I cooked dinner for myself before bed,0
I asked my family to remind me about the symptom tracking in the evening,1
I invited Heidi over for some doing puzzles after dinner,0
I organized my closet after breakfast,0
I set a reminder to take my eye drops after dinner,1
I applied the vitamins to my skin after dinner,1
I felt some fever so I rested during the day,1
I checked the expiry date on my supplements after dinner,1
I updated my assistant about my headache at night,1
I organized my closet in the afternoon,0
I sat on the porch and watched the birds in the evening,0
I watched a movie on my laptop in the evening,0
I practiced my hydration reminder with the psychiatrist before bed,1
I chatted with the neighbor over the fence after breakfast,0
I used my pulse oximeter to get to the kitchen during the day,1
I checked the expiry date on my walker after breakfast,1
my support person helped me with my weight check in the afternoon,1
I wore my heart rate monitor as the doctor advised in the evening,1
I cleaned the kitchen in the afternoon,0
I dusted the bookshelves in the morning,0
I took a shower with help from my helper in the morning,1
I updated my family member about my fatigue in the evening,1
I organized my medicine into the weekly pill box in the afternoon,1
I spent for a short time sweeping the floor today,0
I followed my hydration reminder plan in the evening,1
I really enjoyed meditation after breakfast,0
I spent for a while on my TV during the day,0
I checked the e-reader for messages in the afternoon,0
I checked my calendar for the next pulmonologist visit during the day,1
I put the kitchen appliances back where it belongs at night,0
I updated my caregiver about my swelling after breakfast,1
I used my prosthetic limb to get to the kitchen in the evening,1
I asked my family to remind me about the physio session in the evening,1
I checked the expiry date on my fitness tracker after dinner,1
I took a shower with help from my son during the day,1
I swept the living room floor in the morning,0
I watched a movie on my laptop after dinner,0
I spent for an hour playing a game with Ivan during the day,0
I used the speaker for listening to music for an hour,0
I was listening to music and lost track of time during the day,0
I dusted the bookshelves in the evening,0
I set a reminder to take my denture cream in the morning,1
I practiced my hydration reminder with the neurologist in the afternoon,1
I helped Eve with taking out the trash for a while,0
I checked my calendar for the next specialist visit before bed,1
I talked to Ivan about collecting stamps for a short time,0
I used the gaming console for listening to music for an hour,0
I felt some dizziness so I rested in the evening,1
I updated my support person about my dizziness before bed,1
I checked the expiry date on my wheelchair after dinner,1
I applied the wheelchair to my skin in the morning,1
I folded the laundry while listening to the radio during the day,0
I followed my appointment plan during the day,1
I updated my aide about my fatigue in the morning,1
I felt some joint pain so I rested in the morning,1
I updated my son about my sore throat at night,1
I went to the park for some collecting stamps for two hours,0
I organized my hearing aid batteries into the weekly pill box in the evening,1
I scheduled an appointment with the geriatrician in the evening,1
I invited Charlie over for some traveling after breakfast,0
I felt like traveling would be a nice way to spend the after breakfast,0
I asked my family to remind me about the cognitive exercises during the day,1
I played a board game after breakfast,0
I scheduled an appointment with the pharmacist after breakfast,1
I called a friend to chat in the afternoon,0
I went to the park for some cooking for a few minutes,0
I talked to Bob about dancing for two hours,0
I practiced my exercise with the occupational therapist in the afternoon,1
my spouse helped me with my sleep routine after dinner,1
I practiced my fall prevention measures with the aesthetician before bed,1
I cooked dinner for myself in the afternoon,0
I scheduled an appointment with the cardiologist before bed,1
I scheduled an appointment with the ophthalmologist after dinner,1
I scheduled an appointment with the psychiatrist in the morning,1
I spent for an hour on my TV during the day,0
I checked the expiry date on my wheelchair before bed,1
I did a puzzle after dinner,0
I checked the tablet for messages in the afternoon,0
I organized my insulin into the weekly pill box after breakfast,1
I checked my calendar for the next massage therapist visit in the afternoon,1
I took a nap after dinner,0
I checked my calendar for the next physiotherapist visit during the day,1
I updated my family member about my fever in the afternoon,1
I practiced a few chords on the guitar at night,0
I felt like doing puzzles would be a nice way to spend the after breakfast,0
I noticed the magazine was dusty while I was going for a walk in the afternoon,0
I really enjoyed doing puzzles in the evening,0
I really enjoyed traveling after breakfast,0
my spouse helped me with my fall prevention measures during the day,1
I scheduled an appointment with the midwife after dinner,1
I set a reminder to take my blood sugar monitor after dinner,1
I used my home blood pressure monitor to get to the kitchen at night,1
I updated my assistant about my chest pain at night,1
I was using the e-reader to look up more about playing music at night,0
I misplaced the decorations while I was washing dishes in the afternoon,0
I scheduled an appointment with the hospice worker after breakfast,1
I wore my fitness tracker as the doctor advised in the evening,1
I was gardening and lost track of time at night,0
I applied the bandage to my skin before bed,1
I applied the ointment to my skin after breakfast,1
I practiced my symptom tracking with the physiotherapist during the day,1
I followed my physio session plan during the day,1
I was using the headphones to look up more about collecting stamps before bed,0
I painted a picture for fun in the morning,0
I wore my prosthetic limb as the doctor advised in the morning,1
I checked the speaker for messages in the afternoon,0
I cleaned the kitchen after breakfast,0
I wore my thermometer as the doctor advised during the day,1
I sat on the porch and watched the birds after breakfast,0
I practiced playing music for a few minutes at night,0
I wore my hearing aid as the doctor advised after breakfast,1
I went to the long-term care facility for a checkup in the evening,1
I took a shower with help from my assistant at night,1
I put the tools back where it belongs before bed,0
I followed my emergency preparedness plan plan in the afternoon,1
I checked the expiry date on my cane in the morning,1
I called the naturopath to confirm my visit in the evening,1
I practiced writing for a few minutes in the evening,0
I was using the radio to look up more about knitting in the afternoon,0
I talked to Judy about collecting stamps for a while,0
I made sure to drink enough water today in the evening,1
my aide helped me with my emergency preparedness plan after breakfast,1
I asked my family to remind me about the fall prevention measures in the evening,1
I helped Ivan with folding laundry for two hours,0
I felt like yoga would be a nice way to spend the after dinner,0
I measured my blood pressure in the physiotherapy center in the morning,1
I put the remote control back where it belongs in the evening,0
I took a shower with help from my son before bed,1
I organized my closet before bed,0
I scheduled an appointment with the optometrist in the evening,1
I folded the laundry while listening to the radio in the evening,0
I updated my son about my joint pain before bed,1
I measured my blood pressure in the respite care facility in the morning,1
I listened to music while resting at night,0
I applied the blood sugar monitor to my skin during the day,1
I went to the park for some doing puzzles for an hour,0
I followed my physio session plan before bed,1
I scheduled an appointment with the endocrinologist after dinner,1
I asked my family to remind me about the sleep routine before bed,1
I felt some fatigue so I rested before bed,1
I spent for two hours reading a book with Charlie in the evening,0
I went to the surgery center for a checkup during the day,1
I focused on folding laundry after dinner,0
I baked a cake after dinner,0
I felt some nausea so I rested in the evening,1
I put the tools back where it belongs after breakfast,0
I spent for an hour watching a movie with Charlie at night,0
I organized my bandage into the weekly pill box in the evening,1
I followed my hydration reminder plan in the afternoon,1
I updated my helper about my cough in the morning,1
I was using the e-reader to look up more about photography before bed,0
I measured my blood pressure in the imaging center in the morning,1
I went to the home health agency for a checkup after breakfast,1
I felt some shortness of breath so I rested during the day,1
I talked to David about cooking for an hour,0
I checked the expiry date on my fitness tracker after breakfast,1
I took a shower with help from my daughter at night,1
I took a shower with help from my daughter before bed,1
I walked in the park for a bit in the afternoon,0
I wore my telehealth equipment as the doctor advised in the morning,1
I went for a drive around the neighborhood after dinner,0
I organized my hearing aid batteries into the weekly pill box in the afternoon,1
I went to the community health clinic for a checkup at night,1
I invited Alice over for some knitting at night,0
I went to the community health clinic for a checkup in the evening,1
I watered the plants before bed,0
I practiced a few chords on the guitar during the day,0
I listened to music while resting in the morning,0
I took a shower with help from my aide before bed,1
I went to the park for some playing music for a short time,0
I watched the news on the television for a few minutes,0
I used the smartwatch for gardening for two hours,0
I spent for a while organizing the closet today,0
I took a shower with help from my friend after dinner,1
I called the pulmonologist to confirm my visit after breakfast,1
I applied the heart rate monitor to my skin in the evening,1
I sat on the porch and watched the birds at night,0
I spent for an hour mopping the floor today,0
I used my medical bracelet to get to the kitchen after breakfast,1
my helper helped me with my social engagement in the afternoon,1
I checked my calendar for the next herbalist visit in the evening,1
I wore my prosthetic limb as the doctor advised after breakfast,1
I was using the smartwatch to look up more about playing board games in the morning,0
I talked to Alice about volunteering for two hours,0
I took a shower with help from my daughter in the evening,1
I scheduled an appointment with the pulmonologist after breakfast,1
I took a shower with help from my helper after dinner,1
I called the geriatrician to confirm my visit in the evening,1
my neighbor helped me with my therapy before bed,1
I practiced my health monitoring with the pulmonologist before bed,1
I updated my daughter about my cough in the evening,1
I spent for an hour on my gaming console at night,0
I misplaced the laptop while I was organizing the closet before bed,0
I followed my physio session plan after breakfast,1
I checked my calendar for the next personal trainer visit in the evening,1
I went to the palliative care unit for a checkup in the evening,1
I spent for a few minutes organizing the closet today,0
I checked my calendar for the next urologist visit before bed,1
I misplaced the radio while I was taking out the trash after breakfast,0
I asked my family to remind me about the rehab exercises before bed,1
I wore my assistive communication device as the doctor advised in the afternoon,1
I applied the blood sugar monitor to my skin at night,1
I set a reminder to take my heart rate monitor before bed,1
I recorded my symptoms in a notebook during the day,1
I wore my thermometer as the doctor advised after breakfast,1
I really enjoyed gardening after dinner,0
my caregiver helped me with my mental health check-in in the afternoon,1
I spent for two hours going for a walk with Bob before bed,0
I checked the laptop for messages during the day,0
I walked in the park for a bit in the morning,0
I spent for a short time listening to music with Bob during the day,0
I applied the CPAP mask to my skin before bed,1
I invited Eve over for some playing music in the evening,0
I asked my family to remind me about the cognitive exercises in the afternoon,1
I used the speaker for listening to music for a few minutes,0
I cooked dinner for myself after breakfast,0
I was using the e-reader to look up more about writing in the evening,0
I baked a cake in the evening,0
I scheduled an appointment with the cardiologist at night,1
I was using the e-reader to look up more about writing in the morning,0
I set a reminder to take my bandage in the afternoon,1
I practiced playing music for two hours at night,0
I used the gaming console for playing a game for a few minutes,0
I took a nap in the evening,0
I felt some confusion so I rested during the day,1
I took a shower with help from my aide in the afternoon,1
I called the doula to confirm my visit after breakfast,1
I took a shower with help from my spouse after dinner,1
I read a book at night,0
I checked my calendar for the next psychiatrist visit in the morning,1
I really enjoyed painting at night,0
I scheduled an appointment with the doctor during the day,1
I scheduled an appointment with the urologist at night,1
I misplaced the kitchen appliances while I was watering the plants in the morning,0
I spent for a while watering the plants today,0
I felt some mood changes so I rested at night,1
I used my smart home health device to get to the kitchen before bed,1
