sentence,label,llm_label
I've paid for it . Here's the receipt .,0,0
"Good evening , may I help you ?",0,0
Is it possible to make a compliant call to some organization what it ’ s someone gets rip-off .,0,0
Or getting stuck in traffic jams when you ’ re driving .,0,0
"Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ?",0,0
"Oh , I see it . Do you have multi-vitamins ?",0,0
"I can pretty sure it can be arranged , the wall is a short distance from the city , but we could make arrangements for driver to take us out to visit the great wall during when our afternoon breaks , I also recommend you to visit Tian'an Men Square and city while you add it !",0,0
Would Tuesday or Wednesday be best for you ?,0,0
I wonder if you can help me . I'm looking for a room .,0,0
"Yeah , I'm gonna go to the bank and change it for bills , but first I have to separate them into little piles .",1,0
How much do we owe you ?,0,0
"No problem . Just give us a few minutes more to pull them up , though . We don ’ t get that many English singers !",0,0
Taxi !,0,0
I wish I had a chance to see it with my own eyes .,0,0
"Jack , could you check your calendar ?",0,0
"OK , I'll take it .",0,0
"Certainly . Here you are . Our health authorities said they were no longer suitable for human consumption . I have to remind you that our terms are CIF Hamburg . I hope you would indemnify us for the loss , so it wouldn't be so heavy on us .",0,0
Do you have cheongsams ?,0,0
It's only $ 24 a month .,0,0
"Will you bring our bill , please ?",1,0
"Britain is half the size of france , but great Britain is still one of the largest islands in the world .",1,0
"Wow , that must have really been scary .",0,0
"Oh , can I keep this little suitcase as hand-luggage ?",0,0
I won ’ t damage it .,0,0
Thank you .,0,0
"Sorry , I can ’ t .",0,0
Yes . There are several data documents about this contract . Please advise me which one I should give up .,0,0
"Yes , I'm very pleased . I've just got two tickets to see the Olympic opening ceremony .",0,0
When can I see it ?,0,0
"By the way , could you tell me when the film will begin ?",1,0
"Hello , Barneys Garage .",0,0
"Yes , that's a good idea .",0,0
"How long would you stay , sir ?",0,0
"Very well , thanks . Nice to see you again . I haven't seen you for a long time . What have you been doing lately ?",0,0
thank you very much .,0,0
"it ’ s not usually included , so you ’ ll have to factor in about 100 pounds more each month for utilities .",0,0
"I would select the individual that has the most qualifications among all the applicants . He doesn ’ t have to be the person if we have to fill the vacancy . But he has to be the best , even if we have to pay him higher .",1,0
"Yes , I'm looking forward to meeting everybody and getting started on my new job .",0,0
"Well , tell me . How was the labor and delivery ?",0,0
Thank you.Steven.That was the most magnificent meal I've had abroad.You ' ll have to let me reciprocate the next time you're in Beijing .,0,0
What do you have in foundation ?,0,0
Yes .,0,0
"It's just the right size--a perfect fit ! I'll take it . Oh , no , I'm a little short . Did you bring your credit card ?",0,0
"The steel sheets and bars come in , as you see , in different sizes and are unloaded onto the delivery bay here . We buy them in from a steel works in Wales . This is the new conveyor belt we installed last year . We doubled our output in this department as a result .",0,0
But that takes too long .,0,0
I'm Amy . How do you do ?,0,0
"I have learned many courses , such as Civil Law , Economic Law , Commercial Law and Administration Law .",0,0
"As long as the foam on my macchiato's not burnt , too , I'll be alright for a while . You got your espresso , Jess ?",0,0
How is your new car ?,0,0
Yes . And it was incorporated with other businesses in 2008 due to the global financial crisis .,0,0
"Please cut the sides shorter , but not so much at the back .",0,0
I think that maybe Chinese families are closer than your families .,0,0
We'll take the route No . 10 .,0,0
"Cash , please . Here is the money .",0,0
No . it's free .,0,0
It ’ s either $ 850 or nothing at all .,0,0
Welcome to IBA . Do you need any assistance ?,0,0
My title was Project Manager . There were almost 100 people under my supervision .,0,0
"You can't do that , Jenny !",0,0
"If you don't mind , Mr . Smith , please go to counter number six to queue up and wait for the service .",0,0
He must be courageous enough to fly in the face of established authorities .,0,0
What you would like me to do about it ?,0,0
"By the way , to tell them try to persuade those new guests to cooperate with us . Because I found a biggest opponent from this post-trip .",0,0
"Thank you , I'll try again later .",0,0
This is just my size . How much is the rent,0,0
When do you leave ?,0,0
"Well , don ’ t just sit there , do something . Come and help me in the kitchen .",0,0
Geez . Is that all ?,0,0
Sure .,0,0
Yes . I ’ ll take four shoulder chops and I ’ d like a small chicken .,0,0
Charles ? Before I start I was wondering if it was ok if I put a small crescendo in here and then decrescendo back to pianissimo again over here ?,0,0
"Robert , this is my friend , Mrs . Smith .",0,0
Neither do I . I don't like any kind of modern dances all .,0,0
"Thank you , sir . Have a nice day .",0,0
Isn ’ t it on the bookshelf ?,0,0
Here's my license and form .,0,0
"Yes , or you'll be late .",0,0
"Yeah , so you make her laugh , you make a fool of yourself a little bit and then you buy her a drink .",0,0
"Sometimes , but not quite often .",0,0
Is a blood test painful ?,1,0
The macadamia cake was out-of-this-world !,0,0
I didn't like my brother's batting around without doing anything useful .,0,0
I know . I ’ ll try to give it up .,0,0
"Good.Now , if you'll just sign here , you can start work in 3 days .",0,0
"I'll go to the Yellow Stone Park , and Great Canyon .",0,0
What are you collecting donations for ?,0,0
"Tom , it's time for you to take a shower .",0,0
What a good idea !,0,0
I remember . What time do they need to be there ?,0,0
"How many courses are there altogether , please ?",0,0
"Yes . I like the dress . It must be the latest fashion . Look , the hem has lowered , and the waist narrowed .",0,0
I want to have a different color carpet .,0,0
Of course ! The hotel has a stable with beautiful stallions for a very romantic horseback ride along the country trail . You can also go fishing to the nearby lake or visit the local vineyard .,0,0
"Thank you , here's your change .",0,0
"All right , I will start working now .",1,0
"Oh , I see . By the way , what shall I do if changes in altitude create pressure on the ears ?",0,0
"I agree . That ’ s why Christopher is already looking for a job in Maine , or Wisconsin .",0,0
"Oh , I see . In what area ?",0,0
"Well , can you explain it to me ?",0,0
Sure . Here is your receipt and you can draw your tax paid for those goods at customs .,0,0
"Well , $ 10 per hour , but I can keep the tips . That comes to roughly $ 80 every evening",0,0
"I have tried . But Americans like butter , bread , sugar , and cream too much .",0,0
Twice a year ? How long has your sister lived in Boston ?,0,0
Is there any difference between Cantonese food and Sichuan food ?,0,0
I have a meeting with my General Manager .,0,0
How long did it take you to become an auditor ?,0,0
How do I do that ?,0,0
Which credit card was the bill for ?,1,0
What can I do for you ?,0,0
"I think women excel in every sport except the ones that are taboo for us to join in , like football .",0,0
Los Angeles is in California . It's southeast of San Francisco .,0,0
"I would like to make a suggestion then , sir .",0,0
"That's true . In summer , the first place people want to go is a spacious room with air-conditioning or a quiet river or swimming pool .",1,0
"Now , I've got it . Thank you .",0,0
"It's only one flight down , sir . Just take the elevator or the stairs .",0,0
What is it ?,0,0
"That ’ d be great , but could I have a cup of tea first ?",0,0
That Kenmore looks nice .,0,0
"Really , Mary , you ’ re horrible .",0,0
"No , I shouldn ’ t think so . But you must take your passport of course .",0,0
Would you like cheese on that ?,0,0
"Are the swim stations open 24 hours , like the rest of the gym ?",0,0
"Yes , I have two large suitcases and one box .",0,0
"Ah , right . How much do I need to spend ?",0,0
Can you call an Ambulance ?,1,1
"No , I ’ m not . Would you please drive slowly and carefully ?",0,0
Did you stop at the big waterfall for pictures ?,1,0
I tell you I must go !,0,0
"I know . But there's no point in making her feel worse , isn't there ?",0,0
Thanks . I need to make a few photocopies .,0,0
"As a rule , we don't allow any commission . However , as an encouragement for businesses , we will allow you a 3 % commission .",1,0
Where is it ?,0,0
"Yes , here you go .",0,0
Well . We ’ re expecting about twenty-five people and we ’ d like to spend no more than $ 20 a head .,0,0
"Sure , it ’ s Josh O ’ Neil .",0,0
"Yes , that sounds like a winner . Would you please call them to reserve a table ?",0,0
"When I was at school , I was quite good at track and field events . I was on the school team for the long jump , 100 and 200 meter sprints and the javelin .",0,0
"Excuse me , are you Sara Wilson ?",0,0
"In my country , there ’ s a time limit on the advertisements that can be shown . I think it ’ s about six minutes per hour .",0,0
"No , is it difficult ?",0,0
"Yes , it helps me but I just have to wait and let my system do the work .",0,0
OK . Thank you .,0,0
he was arrested by the police for drinking and driving .,0,0
Is there a bus that'll go all the way to Sons from PHS ?,0,0
"well , they ’ Ve got the money and she ’ s going tomorrow for treatment .",1,1
"I see your point . However , we have done more business this year than any of the previous years . I am very sorry to say that we cannot advance the time of delivery .",0,0
I ’ m going to need you to show me how to use the machine .,0,0
So what am I going to do ?,0,0
"Bill , do you know when did the Chinese begin to celebrate Teachers ' Day ?",1,0
"Yes , sir . What's the matter ?",0,0
Thank you so much !,0,0
Pardon me . Could you please pass me the tissue ?,0,0
"It ’ s double A , R , O , N .",0,0
But I'm not sure if they're well-rcceived .,0,0
"You see , I've just got married and we are looking at getting on the property ladder with our first home .",0,0
His name is not fat boy ! You can be so rude sometimes .,0,0
"I see . But , many supporters of the bailout argue that it could help save the jobs of millions of hardworking Americans .",1,0
Don't worry . The bus tour is really worth while . You can enjoy the whole city in a single day .,0,0
"Yes , it has . I'm looking forward to seeing you . too . and your new house . Uh . . . when does the party start ?",0,0
"Sometimes , the narrow-minded people make me frustrated .",0,0
"Yeah , that would make things a lot easier .",0,0
"I see , thank you very much !",0,0
Do you have any blue shirts ?,0,0
"Well , the cigarettes and the champagne are not in excess of the duty-free allowance . But according to our law , each passenger is allowed only one camera duty-free . You ' ll have to pay duty for the other one .",0,0
It's a secret .,0,0
What state is west of Pennsylvania ?,0,0
I saw that in the guide.It looks like they have different restaurants and different kinds of architecture.Do you want to go ?,0,0
it ended in a tie .,0,0
Can I have a look at your letter of acceptance ?,0,0
I saw her yesterday.She was a little better .,0,0
"On second thought , you'd better make that second call at 7 thirty instead of 7 fifteen .",0,0
Okay . Here you go .,0,0
But don't you like this place ? I remember when we came to see it we thought it would be lovely .,0,0
Reciting texts really bores me to death .,0,0
You may try to have some alternatives and see how you feel .,0,0
She missed us and asked when we would go back home .,0,0
I can ’ t let you do that .,0,0
"Yes , just over there .",0,0
"Well , I've got an idea , put the label cancer sticks on each pack of cigarettes , and read it before you smoke . It may give you a feeling to reduce it .",0,0
"Yes , it's true .",0,0
We have various colors . How about this one ?,0,0
"An ordinary return , please .",0,0
I'm terribly sorry I can't go with you . Shall we find some other time ?,0,0
Do you offer a safety deposit box rental service here ?,0,0
I'm Helen Baker .,0,0
"Have you moved into your new house yet , Michael ?",0,0
"Ha ha , come on ! Well , I ’ Ve been watching what I eat , and working out three times a week . By the way , I heard your son recently graduated !",0,0
"Yes , I have . I went out with them last weekend .",0,0
"If you'd like further information on this , there ’ s a guidebook in several languages on sale at the information desk .",0,0
Great . She'll be so happy .,0,0
"I'm just thinking about that , but the trouble is , I don't know who is well in the know .",0,0
"Oh , it's the Beijing 2008 Olympics ' Emblem . It's a Chinese seal , meaning that Chinese people warmly welcome the friends from all over the world .",0,0
"Yes , I am looking for a coat .",0,0
I was told I should have the letter sent directly to your office .,0,0
How beautiful the flower is !,0,0
What shall I call him ?,0,0
I only wish it were this time yesterday .,0,0
I'll be glad to do it .,0,0
OK . Please hold on a minute . So you checked in on Monday and stayed 3 nights in single room 1005 . Is that right ?,0,0
How did you know ! They say listening to classical music can make your baby smarter !,0,0
"Nothing else , thank you .",0,0
"Yes , she does . She works at home .",0,0
Have you checked the computer ?,0,0
That's right .,0,0
Our school did . They played really well .,0,0
See you !,0,0
"Dave , there's something I want to talk to you about .",0,0
"Yeah , I can't cook anything until tomorrow , anyway . Let's go to the restaurant nearby . It's my treat .",0,0
Where do you come from ?,0,0
"Well , I don ’ t have any other questions so far . I would like to think for a couple of days before I give you my final answer .",0,0
"yeah.Oh , here it comes ! why don't we watch it together ? they are going to have a court debate in this episode . It should be good .",0,0
I wanna register for this mathematics course .,0,0
I'd like to discuss the new order with you . Would you like to have lunch together at Garden Hotel next Tuesday ?,0,0
"Yes , it is .",0,0
Hey Bobby . What's going on ?,0,0
"I like the apartment , Mr.Sellers . You can show me the lease .",0,0
I really wasn't told anything .,0,0
"Tom , did you see the film last night ?",0,0
"Hello , Walter ?",0,0
We will let you know probably next Monday . I hope to give you a positive reply .,1,0
He's my brother .,0,0
Thank you for calling us . We'll be expecting you next Monday .,0,0
Sounds good . Thanks a lot .,0,0
What's this then ?,0,0
"Yes , it's pretty bright in there and big enough for our children to play .",0,0
"I want to become a professor , a lawyer , an editor , a civil servant ...",0,0
"I'm afraid I know less than you do.Tell me more about her , will you ?",1,0
Can't you make it seven weeks for the prints ?,0,0
What happened ?,0,0
I don't want people to think I'm stingy .,0,0
"No , no , no . I'm not interested in literature .",0,0
"Yes , that will be just as good .",1,0
May I buy a ticket here at the station ?,0,0
"Yes , the snow is fun .",0,0
I believe that you called me ?,0,0
What's your working day like ?,0,0
did you have a fight with Jack ?,0,0
Do I need to pay to use it ?,0,0
Do you have any other plans this weekend ?,0,0
"Oh , I don't like that Restaurant . I don't want to go there .",0,0
But he seems to be very happy with Rose .,0,0
I was hoping to get a few new ties for my collection .,0,0
I was thinking of taking off from September first until the thirtieth . Would you be okay with that ?,0,0
The teacher asked me to make a speech in English class and I wasn't prepared . He punished me by making me stand in front of the whole class . It was so embarrassing .,0,0
I think we need to restart the dormitory sanitation inspection system .,0,0
"There are a few things that we want to do to the place , like painting and carpet cleaning .",1,0
"I don't think the thing can be that serious . You should face the result . Besides , I don't think the position is the best for you .",0,0
Tomorrow afternoon .,0,0
Really ?,0,0
Sure . Here you go .,0,0
"cool down , Harry ! What are you really mad about ? Did you get ripped off ?",0,0
"Well , the government offers its employees excellent health insurance benefits .",0,0
What was the weather like yesterday ?,0,0
Yeah . I think I can find it .,0,0
They are reports of our company .,0,0
Really ? I thought you hated shopping ?,0,0
Tuesday night is when we need the reservation for .,0,0
"Hi , do you know what ’ s for dinner ? I ’ m starving .",0,0
"Whoa , don ’ t you remember ? Last year when I set off the firecrackers , you covered both your ears and hid behind your mother ?",0,0
"She ’ s my wife ! Oh , here ’ s my floor ! Nice talking to you . Goodbye .",0,0
"Not at all . I see you and your family twice a week , and I enjoy seeing my own friends . I ’ m too busy to feel lonely !",0,0
By subway .,0,0
"No , I don't .",0,0
Where are you going to live after you're married ?,0,0
"Oh , thanks , professor Donald.this is very nice of you .",0,0
Yes . We say “ eat well and drink well . ”,0,0
"More than five years now . After I did my engineering degree , I began to specialize in computer technology and I even had my own company for a while .",0,0
Would you like regular car wash package ?,0,0
No . I take public transportation . It's safer .,0,0
"It depends on traffic and distance , but it is reasonable .",0,0
Hold on for a moment please . I'm fetching my textbook .,0,0
I don't know . Check the flyer or check with the produce person .,0,0
Alright . There's a spot open at the far end of the lot . Here's your parking stub .,0,0
I propose a toast to your pleasant tour in China .,0,0
"Take me to the center station , please",0,0
You used to do this by yourself ?,0,0
I've got it all covered .,0,0
When are you going to take your vacation ?,0,0
"I am confused . How could a golfer need so many clubs ? Seems to me , 14 altogether , right",0,0
Very well.This arrangement here is very popular among regretful husbands and boyfriends . It has a dozen long stem red roses with a couple of sunflowers and a single orchid that stands out . It includes a small teddy bear to achieve the effect of immediate forgiveness .,0,0
It ’ s up on the second floor . You have to use the stairs . The elevator isn ’ t working .,0,0
My roommate always wants to play it . But I told her to buy her own game .,0,0
"oh , yes . That would be better .",0,0
Our sniffer dog seems to disagree . Do you mind if we look in your suitcase ?,0,0
"Hey , it's not that bad . The food is nutritious and it's really convenient . I don't want to spend too much time on eating stuff .",0,0
Did you hear about the pilot ?,0,0
I'm sure and I remembered your phone number . I'll call you .,0,0
Fine . I ’ ll bring both our office furniture and equipment catalogues on Thursday .,0,0
If the weather stays nice perhaps we can go to the beach this weekend.It ' s been a while since I've not really gotten some sun .,0,0
Yes . I'd like this shirt to be dry-cleaned .,0,0
"Well , um , sir , the company expenditures on entertainment and travel are out of control . Look at these bills for example . Just this month we ’ Ve paid over twenty thousand dollars for hotel charges !",1,0
In my opinion she will up about soon .,1,0
All right . I'm nearly ready . What time does the bus leave ?,0,0
the only problem is that I'm going to really miss having the freedom that you have with a car .,0,0
I can't afford to .,0,0
Please accept my deep apology .,0,0
"Ok , let's see , well , you've got a long life line , which is good , and the love line is strong ...",0,0
"OK . Come with me , please .",0,0
My income remains the same but prices just continue to rise .,0,0
But I like the feeling .,0,0
"I have passed the five courses required by the Chinese CPA Association , but the certificate won't come to hand until next month . How about that ?",0,0
I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere !,0,0
"So , you're going to have a really nice vacation .",0,0
Better take the subway . It's far quicker and more convenient .,0,0
"I wonder what he looks like . Oh , I can't wait to see him ! His email said he'd be wearing a white hat . ( looking around for him ) oh , there he is .",0,0
There is a beautiful state park here . I can see why so many people come out here to camp .,0,0
A classmate of mine .,0,0
Well you can ’ t just take the money . You have to ask the bank for money . And I ’ m the banker .,0,0
"Yes , it ’ s reasonably fast but it certainly isn ’ t cheap . Fares have gone up 25 present .",0,0
And the streets are covered with snow .,0,0
What degree do you have now ? :,0,0
You're right . It's only 9,0,0
Indeed . Online banking enables you to make on-line shopping .,0,0
I don't know where to go to find a nice bedroom set .,0,0
OK !,0,0
How about at 6 pm ?,0,0
"Mr . : I'm Mr . Rogers , your homeroom teacher .",0,0
"In fact , we are beginning to make preparations .",0,0
Could you take a slight pay decrease for a chance to move forward ?,0,0
Is there a mailbox in the apartment ?,0,0
Don't worry . Maybe I can find a part-time job to increase my income .,0,0
"Well , we have some special projects coming up . Would you be interested in working on any of those ?",0,0
How long do you plan to stay ?,0,0
Not just working experience . I would say the biggest lesson I learned is how to deal with people from all walks of life .,0,0
"Hello , Marry , this is Lin Wang , calling from network .",0,0
Thanks . Where is our car ?,0,0
Is this the latest edition ?,0,0
Be my guest .,0,0
"Can ’ t be better , it was wonderful . We had a lot of fun there . There was so much joy and walk and breathe the winter air . We arrived at the park at 9 o ’ clock in the morning and didn ’ t leave till 3 o ’ clock in the afternoon .",1,0
Hikers tell me that the cream is best because it stays on longer .,0,0
"I'm not sure , he is a manager I think .",0,0
How many days do you plan to finish reading it ?,0,0
Could you give me some advice ?,0,0
Thank you very much . I will let you know as soon as possible .,1,0
"Yes . Second , as you can imagine , attitude and friendliness go a long way .",0,0
I worked with him for two years . That was the worst time in my career .,0,0
Can I help you with anything else ?,0,0
We're thinking about going to America .,0,0
"Nah , I wouldn't worry about that . But I don't want to be the third wheel . You two should have some quiet time to yourselves .",0,0
How do you do ?,0,0
"So , we could use it to pay for my son's living expenses , not just his tuition ?",0,0
You'd better give up smoking . It's bad for your health .,0,1
I want to have this photo enlarged .,0,0
"Looking at the spice rack , I ’ d say you ’ Ve been learning how to make asian food .",0,0
I need to continue to deal with my business . I haven ’ t finished it yet .,0,0
I advise that step be taken in power supply first .,0,0
Do you eat a lot of vegetables ?,0,0
"Thank you very much . Here's 10 $ , keep the change , please .",0,0
"where are you going to work then , in Australia or back in China ?",0,0
"Well , yes . Thanks , there's no trouble at the moment .",0,0
I don't really feel too well yet .,0,1
If you want I'll let him know if I run into him .,0,0
"Mom , what were movies like when you were a kid ?",0,0
"Yes , my wife is coming to get me .",0,0
"Well , you get used to it , different countries have different manners .",0,0
My house was robbed last night and the thieves stole all my furniture .,0,0
"Get in this door young man . It ’ s midnight , you are two hours past curfew .",0,0
Thank you.You ' re so considerate .,0,0
"So , 1,2 and 3 are prime numbers , but 4 isn ’ t because 2 * 2 = 4 .",0,0
It is too bad today .,0,0
Maybe I could help .,0,0
"Actually , you do owe some fees .",0,0
"It's time to graduate and it's time to find a job . Susan , why do we need to find a job ?",0,0
"Oh , are the connections correct ?",0,0
All in the local market . One or two suggestions that came in from the distribution might interest you .,0,0
"Yes , but the results are not so satisfying .",0,0
"Until this investigation is finished , will I have to pay for the charge ?",1,0
that's pretty harsh .,0,0
Our philosophy teacher is very humorous .,0,0
Either something in the hotel business or something to do with travel .,0,0
I really enjoyed that film ! What about you ?,0,0
"No , sir . Would you rather sit near the dance floor ?",0,0
Ah ! It hurts . Don't touch it .,1,1
"I'm sorry , Sir , but you will need to come in to your local branch to deal with the application procedure . Come in and fill out an application form and let us have a duplicate of your ID card . You'll also need a copy of your guarantor's and he or she will need to sign the form , too .",1,0
"You ’ re welcome . You know , these days I have been reflecting on my biggest weakness procrastination . The more I think about it , the more I hate myself for being so disorganized . I decided to change the situation as soon as possible . Otherwise I will be more regretful later .",1,0
"Usually for lunch , we don't have to reserve a table , they should allow walk-ins . But to be on the safe side , I'll order a table for half-past twelve . Will that suit your schedule ?",1,0
I don't know how to deal with Jack . He is indeed a trouble maker . He has loused up my business several times .,0,0
What in your opinion can be done to stop smoking ?,0,0
sorry to hear that . It seems you have sacrificed a lot to work away from home .,0,0
Guess what ? I've got great news !,0,0
"Give me your email , would you ?",0,0
"Yes , I know . It ’ s not the first time I ’ m taking this ! Don ’ t worry , I won ’ t overdose !",1,0
I ’ m studying for my chemistry exam tomorrow .,0,0
"As a matter of fact , he is .",0,0
Would you please tell us how to review our lessons ?,0,0
maybe . How about a mochaccino ? Are they any good ?,0,0
"Look , the aliens are sending a message to Mulder . This rocks !",0,0
"No , just tomatoes , please . And large fries .",0,0
"Yes , I will . Have a nice flight back .",1,0
Perhaps the food was bad .,0,0
Thanks . Try not to work too hard while I ’ m away !,0,0
"Well , Peter . I'm sorry you're ill . What's the matter with you ?",1,0
She already bought that evening gown .,0,0
Sure . We've helped more than ten thousand people buy and sell houses . We're the No . 1 realtor in this community . I recommend this house ( He points at a picture ) .,0,0
You can always wash cars and sell candy .,0,0
"no , of course not . Go ahead .",0,0
"I'll tell you what , I'll go over the number again with our financial team and see what I can do . I can't give you any guarantees . But we can try .",0,0
"No , you can't , darling . The grass is wet .",0,0
So I take it you're pretty bored too .,0,0
What makes is so great ?,0,0
"I bet you eat a large evening meal , then sit and watch TV or read a book . Then instead of burning off your energy , your body stores it as fat .",0,0
"No , nothing changed .",0,0
Kathy ! How are you ? It's been ages ! What are you doing these days ?,0,0
"It's been a long time , Mrs , Lee .",0,0
"Yeah , I worked as their customer support manager , which brought me a breadth of experience in both client care , and process management . I supervised and coordinated the customer support team as well as implemented new strategies to achieve better customer satisfaction .",0,0
Hi Jackie . You don't look too well . What's going on ?,0,1
"Hey , Ann . You don't have a pen , do you ?",0,0
Why don't you call back later this afternoon ?,0,0
"No , dim sum is more Cantonese style.But of course you can buy it in Taiwan .",0,0
Is it nice ?,0,0
Absolutely ! We were never still for too long . But now I ’ m really looking to settle down .,1,0
It's Saturday . Could you make the time ?,0,0
"Yes , there is shrimp in there along with sea vegetables and lemon grass .",0,0
I would like that . Thank you .,0,0
How much is an airmail letter to Japan ?,0,0
Do you mean you want to sell up your company of your own ?,0,0
"What ? You don ’ t love me ? Me , either .",0,0
$ 10 per hour .,0,0
Thank you . Have a nice trip .,0,0
Excuse me . Do you think I can get there in time to catch the 11:30 train ?,0,0
"It's very thought-provoking , isn't it ?",0,0
"There ’ s some , but I don ’ t think it ’ s a big problem . A lot of it is petty crime , burglary and car theft . There ’ s very little major crime .",0,0
So am I .,0,0
But it's really too important to me .,0,0
Did you make it to school today ?,0,0
That's right.The bus tour is really efficient and cheap .,0,0
Now we have to walk all the way down to the end of the street .,0,0
Of course .,0,0
What happened ?,0,0
I would like to . but I'm not good at it .,0,0
I'm from the other side of the coast--Los Angeles .,0,0
I'm not surprised . She's a plain Jane .,0,0
"I'm in Beijing , at the Weston Hotel .",0,0
What came up ?,0,0
Is the place well-furnished ?,0,0
"No , Ah ... single sellers .",0,0
"Mr . Lee , all ready to check out ? We ’ Ve already prepared your bill , and housekeeping has done a quick check of the room . How will you be paying ?",1,0
Yeah . I need to get some stuff .,0,0
Yes . You've got to cut down on bread and potatoes and take more exercise .,0,0
Then what should I do ?,0,0
"Hello sir , may I help you ?",0,0
I want to apply for a passport here .,0,0
OK . But where is my favorite coffee ?,0,0
I am a journalist . I write for China Daily .,0,0
It's true . I would never go there again either.Country music is a nightmare . So is it the Latin Club ?,0,0
I'll buy it later on today .,0,0
That's all right .,0,0
It was around 1 thirty in the morning . I guess I didn ’ t fall asleep till 3 because those numbers were involving in my mind . I just couldn ’ t stop thinking about them .,1,0
"Yeah , I've been out of town .",0,0
"I ’ Ve been having a little trouble breathing . Would you look into that , please ?",0,1
